Nombre,Edad,Posicion,Altura (cm),Peso (kg),Partidos,Minutos,Goles,Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Disparos por Partido,Precisión de Pases (%),Duelos Aéreos Ganados,Hombre del Partido,Calificación WhoScored,Equipo
Lionel Messi,37,"AM(CR),FW",0.0,170,67,0.0,2881,25.0,21.0,4.0,0.0,4.8,82.6,0.3,22.0,Barcelona
Luis Suárez,38,"AM(CLR),FW",0.0,182,72,0.0,2002,16.0,8.0,4.0,0.0,2.8,75.5,0.4,3.0,Barcelona
Sergio Busquets,36,"D(C),DMC",0.0,189,74,0.0,2491,2.0,2.0,10.0,0.0,0.3,89.9,1.2,1.0,Barcelona
Gerard Piqué,38,D(C),0.0,194,85,35.0,3096,1.0,0.0,15.0,0.0,0.4,91.8,3.7,1.0,Barcelona
Antoine Griezmann,33,"AM(CLR),FW",0.0,176,73,0.0,2562,9.0,4.0,2.0,0.0,1.6,81.8,0.9,1.0,Barcelona
Rafinha,32,M(CLR),0.0,174,71,0.0,187,0.0,0.0,0.0,0.0,2.0,90.0,0.0,0.0,Barcelona
Clément Lenglet,29,D(C),0.0,186,81,28.0,2428,2.0,1.0,7.0,2.0,0.4,92.3,2.3,0.0,Barcelona
Moussa Wagué,26,D(R),0.0,177,70,1.0,90,0.0,0.0,0.0,0.0,0.0,88.1,1.0,0.0,Barcelona
Jordi Alba,35,"D(L),M(L)",0.0,170,68,0.0,2190,2.0,5.0,7.0,0.0,0.3,88.6,0.2,0.0,Barcelona
Sergi Roberto,33,"D(R),M(CR)",0.0,178,68,0.0,2342,1.0,2.0,7.0,0.0,0.2,91.8,1.0,0.0,Barcelona
Frenkie de Jong,27,"D(C),DMC",0.0,181,74,0.0,2121,2.0,2.0,1.0,1.0,0.1,91.8,0.5,2.0,Barcelona
Arthur,28,DMC,0.0,171,73,0.0,1185,3.0,3.0,1.0,0.0,0.4,91.5,0.1,0.0,Barcelona
Arturo Vidal,37,M(CR),0.0,180,75,0.0,1663,8.0,2.0,4.0,0.0,0.8,88.4,1.0,1.0,Barcelona
Riqui Puig,25,"AM(C),FW",0.0,169,56,0.0,508,0.0,2.0,1.0,0.0,0.7,90.5,0.1,0.0,Barcelona
Nélson Semedo,31,"D(CLR),M(R)",0.0,177,69,0.0,2097,1.0,2.0,2.0,0.0,0.3,89.5,0.4,0.0,Barcelona
Ansu Fati,22,"AM(L),FW",0.0,178,66,0.0,1027,7.0,1.0,2.0,1.0,1.4,85.7,0.3,0.0,Barcelona
Samuel Umtiti,31,D(CL),0.0,182,75,0.0,946,0.0,0.0,6.0,0.0,0.0,92.2,1.6,0.0,Barcelona
Ousmane Dembélé,27,"AM(CLR),FW",0.0,178,67,0.0,358,1.0,0.0,1.0,1.0,1.0,78.0,0.2,0.0,Barcelona
Marc-André ter Stegen,32,GK,0.0,187,85,36.0,3240,0.0,2.0,1.0,0.0,0.0,86.4,0.3,0.0,Barcelona
Junior Firpo,28,"D(L),M(L)",0.0,184,78,0.0,1011,1.0,1.0,5.0,0.0,0.2,88.8,0.8,0.0,Barcelona
Carles Pérez,27,"M(CR),FW",0.0,173,75,0.0,474,1.0,2.0,0.0,0.0,1.4,83.5,0.1,0.0,Barcelona
Ivan Rakitic,37,M(CL),0.0,184,78,0.0,1589,1.0,3.0,5.0,0.0,0.8,90.0,0.6,0.0,Barcelona
Jean-Clair Todibo,25,D(C),0.0,192,88,0.0,77,0.0,0.0,0.0,0.0,0.0,96.1,1.0,0.0,Barcelona
Neto,35,GK,0.0,190,84,2.0,180,0.0,0.0,0.0,0.0,0.0,87.5,0.5,0.0,Barcelona
Ronald Araujo,26,D(CR),0.0,188,79,0.0,236,0.0,0.0,0.0,1.0,0.2,93.7,1.0,0.0,Barcelona
Martin Braithwaite,33,"AM(CLR),FW",0.0,180,77,0.0,403,1.0,0.0,1.0,0.0,1.2,77.8,0.5,0.0,Barcelona
Carles Aleñá,27,AM(CLR),0.0,180,70,0.0,171,0.0,0.0,0.0,0.0,0.3,92.8,0.3,0.0,Barcelona
Álex Collado,25,AM(CR),0.0,177,66,0.0,5,0.0,0.0,0.0,0.0,0.0,90.0,1.0,0.0,Barcelona
